,h,lam,tol,ite_f,ite_r,time_f,time_r,nm_f,nm_r,err_f,err_r,err_comp
0,32.0,0.0001,1e-06,5.0,6.0,0.2381289005279541,0.08304691314697266,0.3899435855308148,0.39002644877535586,0.2833471236933405,0.28324579148552786,0.00019163202030222907
1,32.0,0.0001,1e-07,6.0,8.0,0.27608489990234375,0.10511898994445801,0.38995938496139043,0.38996454749041143,0.2825935307087676,0.28249505814422005,0.00029826239274322074
2,32.0,0.0001,1e-08,7.0,9.0,0.3363640308380127,0.11838126182556152,0.38996049230934393,0.38996702790332893,0.2825035964838493,0.2824770302480605,6.875075298703521e-05
3,32.0,0.0001,1e-09,8.0,11.0,0.3797948360443115,0.13432717323303223,0.38996053614601545,0.3899646373519521,0.2824841317581956,0.28247519691030853,2.1371127788781953e-05
4,32.0,0.0001,1e-10,9.0,13.0,0.4130549430847168,0.15238499641418457,0.38996053726586843,0.38996469427877994,0.28248220275168145,0.28247473051296906,2.1484569454783095e-05
5,32.0,1e-05,1e-06,7.0,9.0,0.3195059299468994,0.11298084259033203,0.44223489521322784,0.4425600745225651,0.20536076061238157,0.20205485846176957,0.006935398682484511
6,32.0,1e-05,1e-07,10.0,12.0,0.4588799476623535,0.14720487594604492,0.44303034317526313,0.4430538500722364,0.19761219925526163,0.19755956481239645,0.00010346696966941285
7,32.0,1e-05,1e-08,12.0,18.0,0.5512948036193848,0.212188720703125,0.4430447928142937,0.4430661257935974,0.1971602708616192,0.19713855086903564,6.403166566650011e-05
8,32.0,1e-05,1e-09,13.0,22.0,0.6054790019989014,0.2499701976776123,0.4430450800974731,0.4430663201459834,0.1971335354593733,0.19711546696179255,6.312023571198803e-05
9,32.0,1e-05,1e-10,18.0,28.0,0.8223731517791748,0.31102585792541504,0.4430451118270716,0.44306641243813916,0.19712827773125388,0.1971144736072481,4.7667704418595106e-05
10,32.0,1e-06,1e-06,7.0,9.0,0.32930612564086914,0.11444687843322754,0.47044009848804397,0.4712994601978084,0.17891712256366818,0.17395044355749903,0.010832283638007006
11,32.0,1e-06,1e-07,12.0,19.0,0.5541796684265137,0.21917104721069336,0.4853548611027783,0.48576447580066695,0.13327859185760582,0.13199085335659982,0.005006206831349709
12,32.0,1e-06,1e-08,19.0,37.0,0.8673827648162842,0.4017658233642578,0.4869534620179026,0.4870101511336339,0.1294360892507504,0.12951796211455302,0.0007966475524779436
13,32.0,1e-06,1e-09,26.0,57.0,1.20674729347229,0.6063399314880371,0.4870179890470821,0.4870654129710016,0.12983847958459985,0.12981572920871468,0.0002821337823697452
14,32.0,1e-06,1e-10,36.0,70.0,1.691511869430542,0.7480151653289795,0.4870190512882201,0.4870657656794025,0.12982806264473393,0.12981006305880985,8.590265434748268e-05
15,32.0,1e-07,1e-06,7.0,9.0,0.32485389709472656,0.11416196823120117,0.4752669500254607,0.47628320847917677,0.17638325411592382,0.17145592078804833,0.011230796300371921
16,32.0,1e-07,1e-07,18.0,37.0,0.8263812065124512,0.4124021530151367,0.5125173800080751,0.5231840880133622,0.13102998393354245,0.16143591243851652,0.06071033882585465
17,32.0,1e-07,1e-08,42.0,95.0,1.9164130687713623,0.9729881286621094,0.5414759203044721,0.5417158885468653,0.20857144466179847,0.20909582315276362,0.002587712153910296
18,32.0,1e-07,1e-09,61.0,131.0,2.8457229137420654,1.3739290237426758,0.5418764386545638,0.5419607141685462,0.20982192666458027,0.20990706221190455,0.0006681234745521699
19,32.0,1e-07,1e-10,79.0,194.0,3.625044822692871,2.0731701850891113,0.5419015977632033,0.5419748720251552,0.2098727304841296,0.20990031453691813,0.00015357351779343638
20,32.0,1e-08,1e-06,7.0,9.0,0.35490894317626953,0.1153709888458252,0.47578610474943483,0.47682039085435735,0.17614633970796922,0.17122786202736034,0.011272527682663442
21,32.0,1e-08,1e-07,26.0,62.0,1.1956920623779297,0.6467700004577637,0.5580401342194967,0.6163389066616116,0.235743062162382,0.3459199592864075,0.14617697873507257
22,32.0,1e-08,1e-08,101.0,196.0,4.5778586864471436,1.9605932235717773,0.8180873344007841,0.8179161427709152,0.6341580024334263,0.6339056461233734,0.0028536199744759174
23,32.0,1e-08,1e-09,128.0,373.0,5.957504034042358,3.7738029956817627,0.823875020304507,0.8243128841895707,0.6414778934325877,0.6419686588383147,0.004901484785767665
24,32.0,1e-08,1e-10,175.0,459.0,8.079152345657349,4.672109842300415,0.8240948328881634,0.824343973836188,0.6417609701157385,0.6420173358321737,0.0003212997405542197
25,64.0,0.0001,1e-06,5.0,6.0,1.6223008632659912,0.41849493980407715,0.34599294074967835,0.3461156028938251,0.2984137111294447,0.29825235230890634,0.0003246656341365713
26,64.0,0.0001,1e-07,6.0,8.0,1.998283863067627,0.47835278511047363,0.3460104096352976,0.3460151432960671,0.2976626527072858,0.29758644699857956,0.00024305211064363933
27,64.0,0.0001,1e-08,7.0,9.0,2.2745511531829834,0.4652061462402344,0.3460112815300716,0.34601905231631913,0.29759391172254346,0.2975676533846967,6.543560395522501e-05
28,64.0,0.0001,1e-09,8.0,11.0,2.5533981323242188,0.5722668170928955,0.346011330335419,0.34601531386021,0.2975725054198647,0.29756486345745886,1.942398688865438e-05
29,64.0,0.0001,1e-10,9.0,13.0,2.86392879486084,0.5877439975738525,0.3460113330024705,0.3460153871113391,0.2975703049541836,0.29756408842836995,1.9626290586095596e-05
30,64.0,1e-05,1e-06,7.0,9.0,2.1791491508483887,0.4370760917663574,0.3966438433045523,0.39731356070648316,0.22961930102983155,0.2279615314266753,0.003331978518644162
31,64.0,1e-05,1e-07,10.0,14.0,3.1486780643463135,0.6351277828216553,0.39756634344826586,0.3976025978462273,0.22152495454994056,0.221123022618672,0.0011116191223102265
32,64.0,1e-05,1e-08,12.0,18.0,3.855975866317749,0.7272231578826904,0.3975845519129472,0.3976067722375108,0.22101529980736395,0.2209901748645781,6.291594871636094e-05
33,64.0,1e-05,1e-09,13.0,22.0,4.040513038635254,0.8473038673400879,0.39758492972435183,0.39760698111802956,0.22097362653236355,0.220956246708839,5.1358368742582e-05
34,64.0,1e-05,1e-10,17.0,30.0,5.56515908241272,1.1682257652282715,0.39758495406783123,0.39760671079073273,0.22096674492613463,0.22095240647936684,4.689574742420423e-05
35,64.0,1e-06,1e-06,7.0,9.0,2.341564893722534,0.5101230144500732,0.42607690121113234,0.4283814090239792,0.20489017984140923,0.20105279153711572,0.008140353459468777
36,64.0,1e-06,1e-07,12.0,19.0,4.034326076507568,0.817234992980957,0.44371698198756565,0.44386332394653083,0.15547117593258844,0.15479499936238292,0.001666387793256862
37,64.0,1e-06,1e-08,20.0,38.0,6.647366046905518,1.4478998184204102,0.445446063447097,0.44555070300322314,0.14859110622855234,0.14866945049698257,0.0025860069790259086
38,64.0,1e-06,1e-09,28.0,51.0,9.218032121658325,1.9915568828582764,0.44551314981882045,0.44557472149544614,0.1488102348023734,0.14876860575421305,0.0001469989436713012
39,64.0,1e-06,1e-10,32.0,63.0,10.421708822250366,2.3757481575012207,0.44551254606037066,0.4455761580765972,0.14881626885759305,0.14877802599536977,0.0001235239971811145
40,64.0,1e-07,1e-06,7.0,9.0,2.221107006072998,0.43875694274902344,0.43124144511428875,0.4339722962162801,0.2024016165993094,0.19827113522805992,0.009146560073573387
41,64.0,1e-07,1e-07,22.0,32.0,7.194638013839722,1.2862358093261719,0.47450008383764936,0.47466580226939215,0.13808130171869587,0.1381400096069421,0.0013243366301274177
42,64.0,1e-07,1e-08,41.0,90.0,13.391450881958008,3.1397409439086914,0.4967369270033861,0.49751119995942517,0.19380706349766788,0.19541521411089088,0.007510837915909474
43,64.0,1e-07,1e-09,63.0,137.0,20.00885009765625,4.745235919952393,0.49771961718773394,0.4978443218976446,0.19636280031783362,0.19645028953461655,0.0007315760001802816
44,64.0,1e-07,1e-10,77.0,180.0,25.753008127212524,6.372159004211426,0.4977376636536545,0.497853992249312,0.19647258096189701,0.1964949955725873,0.00020922522652746977
45,64.0,1e-08,1e-06,7.0,9.0,2.309122085571289,0.46825289726257324,0.43179874095470416,0.4345782017380833,0.20216558739671103,0.19800702939126355,0.009257552055876276
46,64.0,1e-08,1e-07,22.0,43.0,7.339413642883301,1.636993169784546,0.48120825229074365,0.5061425134098714,0.14203316344331307,0.1980807423680579,0.10344341724062
47,64.0,1e-08,1e-08,100.0,268.0,32.535988092422485,8.953083038330078,0.8679014584822299,0.8837573612910685,0.7280844689145562,0.74676131932785,0.06132865046880267
48,64.0,1e-08,1e-09,185.0,353.0,58.16505980491638,11.822685956954956,0.8864535217533015,0.8865382060156379,0.7499101856580781,0.7499386602744141,0.0032915543161145104
