,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
0,32.0,0.0001,1e-06,6.0,6.0,0.28511595726013184,0.08601188659667969,0.28230390460570387,0.28293334999978254,0.001385135650134362
1,32.0,0.0001,1e-07,7.0,8.0,0.32230591773986816,0.10547804832458496,0.28218373444987194,0.28217512984773746,2.159227728058176e-05
2,32.0,0.0001,1e-08,8.0,9.0,0.3712341785430908,0.11615467071533203,0.2821636898246382,0.28215749643300864,2.2811377370142475e-05
3,32.0,0.0001,1e-09,9.0,11.0,0.41693806648254395,0.13608860969543457,0.28216176877271343,0.28215470858317954,2.0879079679525633e-05
4,32.0,0.0001,1e-10,10.0,13.0,0.45920491218566895,0.1561129093170166,0.28216172752809543,0.2821542371555429,2.1458607013484308e-05
5,32.0,1e-05,1e-06,8.0,9.0,0.3679008483886719,0.11458206176757812,0.19994937471394553,0.20143768048186483,0.003602061045392431
6,32.0,1e-05,1e-07,11.0,12.0,0.5049889087677002,0.14828205108642578,0.1966999389867207,0.19701410783225906,0.0010356812286285181
7,32.0,1e-05,1e-08,13.0,18.0,0.5977439880371094,0.20840001106262207,0.1965624665136196,0.19656709800303182,0.00014425347984204232
8,32.0,1e-05,1e-09,14.0,22.0,0.6386890411376953,0.24992704391479492,0.19656006042953916,0.19654671774760496,5.092320868348311e-05
9,32.0,1e-05,1e-10,17.0,27.0,0.7725062370300293,0.3012380599975586,0.19655965557488608,0.19654585112543416,4.8225740238168633e-05
10,32.0,1e-06,1e-06,8.0,9.0,0.3680989742279053,0.1149601936340332,0.16494046977501836,0.17094935984294482,0.017451153412650897
11,32.0,1e-06,1e-07,13.0,19.0,0.611274003982544,0.21897602081298828,0.1318284540021266,0.13228675263544937,0.0031033008892291706
12,32.0,1e-06,1e-08,20.0,39.0,0.9293167591094971,0.4198741912841797,0.13158213383303985,0.13174637517966387,0.0009014002888461418
13,32.0,1e-06,1e-09,26.0,51.0,1.2536368370056152,0.5357320308685303,0.1318594749024617,0.13184635992527122,8.346474470411948e-05
14,32.0,1e-06,1e-10,33.0,68.0,1.5263190269470215,0.7100968360900879,0.13185233086307677,0.13183858003770224,7.651880535361703e-05
15,32.0,1e-07,1e-06,8.0,9.0,0.3660149574279785,0.11463093757629395,0.1616643312308916,0.16839197103081144,0.021978034900909243
16,32.0,1e-07,1e-07,19.0,38.0,0.8709309101104736,0.4078960418701172,0.15401780704791854,0.18440043984212603,0.05150688065745087
17,32.0,1e-07,1e-08,43.0,77.0,1.9825921058654785,0.7981281280517578,0.2332414787330707,0.2322057134422579,0.0055963256047778425
18,32.0,1e-07,1e-09,66.0,140.0,3.0134987831115723,1.4209239482879639,0.2344428020344271,0.234505333434617,0.00021721984528795508
19,32.0,1e-07,1e-10,73.0,185.0,3.3181772232055664,1.8528869152069092,0.23445145650407562,0.234512021537804,0.00017086096478533103
20,32.0,1e-08,1e-06,8.0,9.0,0.3650989532470703,0.11416816711425781,0.16138092052739092,0.16816671007109868,0.022505723619284868
21,32.0,1e-08,1e-07,26.0,56.0,1.1849689483642578,0.5863511562347412,0.2835645166315958,0.38738590149735175,0.1377679148543158
22,32.0,1e-08,1e-08,79.0,235.0,3.6240479946136475,2.3799219131469727,0.6884432021130019,0.7013136546855442,0.04875376618169677
23,32.0,1e-08,1e-09,134.0,359.0,6.110291004180908,3.579763174057007,0.7031022711550615,0.7039019245457423,0.007068082186015477
24,32.0,1e-08,1e-10,202.0,496.0,9.163892030715942,4.927100896835327,0.7036354930611172,0.7039658589670877,0.00043907690621352853
25,64.0,0.0001,1e-06,6.0,6.0,1.9544117450714111,0.36336708068847656,0.29765228907290997,0.2982227262542706,0.0012471720779605854
26,64.0,0.0001,1e-07,7.0,8.0,2.3061418533325195,0.4193761348724365,0.29755441239187846,0.2975470015811909,1.984200277584967e-05
27,64.0,0.0001,1e-08,8.0,9.0,2.604094982147217,0.47008419036865234,0.29753270057291736,0.2975285459488371,2.1960019587874413e-05
28,64.0,0.0001,1e-09,9.0,11.0,2.91565203666687,0.5062918663024902,0.2975305352439788,0.2975251145798627,1.9184467002046054e-05
29,64.0,0.0001,1e-10,10.0,13.0,3.231257915496826,0.5745060443878174,0.2975304843182965,0.29752433804221573,1.9721127194876905e-05
30,64.0,1e-05,1e-06,8.0,9.0,2.6099131107330322,0.45177292823791504,0.22406268099878648,0.22778628296987752,0.007952378802776732
31,64.0,1e-05,1e-07,11.0,14.0,3.551966905593872,0.6095428466796875,0.22059534720704174,0.22056531104690558,7.057351296169855e-05
32,64.0,1e-05,1e-08,13.0,19.0,4.260586977005005,0.8296473026275635,0.22040306948377691,0.2204215109622295,0.00015606675649425296
33,64.0,1e-05,1e-09,17.0,23.0,5.55769681930542,0.8963327407836914,0.22039656578831923,0.22038505792571136,5.472037898584646e-05
34,64.0,1e-05,1e-10,18.0,30.0,5.870637893676758,1.0942330360412598,0.22039649957560103,0.22038192944839552,4.678338585807752e-05
35,64.0,1e-06,1e-06,8.0,9.0,2.5760891437530518,0.45486879348754883,0.1889933694718936,0.20102569677163376,0.029843651766546662
36,64.0,1e-06,1e-07,13.0,20.0,4.239153861999512,0.8185970783233643,0.1542222997041949,0.15025320849319465,0.011431132429710842
37,64.0,1e-06,1e-08,20.0,35.0,6.5409910678863525,1.264803171157837,0.14763913642265863,0.14754286291973281,0.0014534489817382655
38,64.0,1e-06,1e-09,29.0,57.0,9.47706913948059,2.006711006164551,0.14775386853023947,0.14771698626977584,0.00012951023158506452
39,64.0,1e-06,1e-10,34.0,69.0,11.162220001220703,2.4422128200531006,0.14775442455515767,0.14771665375772794,0.0001287703145718544
40,64.0,1e-07,1e-06,8.0,9.0,2.624011993408203,0.4560971260070801,0.18522035145188867,0.19828531798640966,0.03536645608222158
41,64.0,1e-07,1e-07,23.0,35.0,7.52176833152771,1.3205082416534424,0.14269268363864498,0.1399528033390291,0.010157432045444812
42,64.0,1e-07,1e-08,49.0,96.0,16.066015005111694,3.2298572063446045,0.19437802397115775,0.19466616212640808,0.0012296682668332952
43,64.0,1e-07,1e-09,63.0,137.0,20.48798179626465,4.732339859008789,0.19572957989905612,0.1957576395711242,0.00023159775611793123
44,64.0,1e-07,1e-10,78.0,198.0,25.392064809799194,6.819346904754639,0.19577053151897678,0.19579889223229266,0.00025163236130169614
45,64.0,1e-08,1e-06,8.0,9.0,2.6092379093170166,0.4504530429840088,0.18487446207142014,0.1980257076636338,0.03599367271762651
46,64.0,1e-08,1e-07,23.0,35.0,7.496982097625732,1.2810449600219727,0.1507972861807951,0.14555551460627267,0.01475558328670174
47,64.0,1e-08,1e-08,115.0,259.0,37.48090600967407,8.734932899475098,0.705869620295078,0.7126554797004948,0.025295040654261473
48,64.0,1e-08,1e-09,158.0,445.0,51.63048601150513,15.76465392112732,0.7176627909407801,0.7181355516400999,0.0049967776923097364
49,64.0,1e-08,1e-10,222.0,589.0,72.31729817390442,19.040900707244873,0.7179713271405206,0.718203660375128,0.00045400914177191236
50,128.0,0.0001,1e-06,5.0,5.0,13.671846866607666,2.0325472354888916,0.3030272709213529,0.30302420107931544,2.573237445302767e-05
51,128.0,0.0001,1e-07,7.0,8.0,18.850759029388428,2.513136148452759,0.3022927966392737,0.30228703922846933,1.613857981381291e-05
52,128.0,0.0001,1e-08,8.0,9.0,21.527549982070923,2.6492819786071777,0.3022723165803304,0.30226784699667464,1.6319877318791275e-05
