,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
0,32.0,0.0001,1e-06,6.0,6.0,0.27779698371887207,0.08585691452026367,0.3180540329975857,0.31813956335235816,0.0002921383366126149
1,32.0,0.0001,1e-07,7.0,8.0,0.3329050540924072,0.10968399047851562,0.3179250715796179,0.31791220422592453,2.5989907425307775e-05
2,32.0,0.0001,1e-08,9.0,10.0,0.42589712142944336,0.12879276275634766,0.3178978666061542,0.3178882504913744,2.8126676550550783e-05
3,32.0,0.0001,1e-09,9.0,12.0,0.4209260940551758,0.1474742889404297,0.31789787387972707,0.3178865632787977,2.6143063125155568e-05
4,32.0,0.0001,1e-10,10.0,13.0,0.4655458927154541,0.18570423126220703,0.31789783027109614,0.31788656045513874,2.613988527857757e-05
5,32.0,1e-05,1e-06,8.0,9.0,0.3804349899291992,0.1150200366973877,0.21348727791647373,0.219168372071696,0.01088686198258637
6,32.0,1e-05,1e-07,11.0,14.0,0.5084240436553955,0.17089486122131348,0.21022176574152113,0.21019879776528513,8.038051665859437e-05
7,32.0,1e-05,1e-08,13.0,20.0,0.5986502170562744,0.2392733097076416,0.210064664471638,0.21005268676515404,0.00010016768608410609
8,32.0,1e-05,1e-09,15.0,26.0,0.7049000263214111,0.29561591148376465,0.2100618422136798,0.210043021627549,5.954533528284755e-05
9,32.0,1e-05,1e-10,17.0,31.0,0.7812738418579102,0.34829068183898926,0.21006212510203456,0.2100431195909721,5.8776221598903304e-05
10,32.0,1e-06,1e-06,9.0,12.0,0.4180490970611572,0.14571595191955566,0.14783243368213367,0.15591173422047389,0.022911304622387357
11,32.0,1e-06,1e-07,13.0,26.0,0.6032121181488037,0.31007909774780273,0.1386327988928007,0.1385711197616928,0.014678568607266854
12,32.0,1e-06,1e-08,20.0,41.0,0.941338062286377,0.4521191120147705,0.13983051885728104,0.13994032785129254,0.000791029972078006
13,32.0,1e-06,1e-09,28.0,57.0,1.2859630584716797,0.6136019229888916,0.14010836908461885,0.14007400790360422,0.00015490075924103874
14,32.0,1e-06,1e-10,33.0,68.0,1.5231308937072754,0.7309191226959229,0.1400962443719078,0.14006626956844645,0.00014520442456617333
