,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
0,32.0,0.0001,1e-06,6.0,7.0,0.2763328552246094,0.0984950065612793,0.32539200103669974,0.32535723776248204,7.132083185302504e-05
1,32.0,0.0001,1e-07,7.0,8.0,0.3305211067199707,0.10541200637817383,0.32525966628653746,0.3252391294046082,6.165927340223109e-05
2,32.0,0.0001,1e-08,8.0,10.0,0.39066195487976074,0.1264331340789795,0.3252403896736874,0.3252213369377405,6.759376972821772e-05
3,32.0,0.0001,1e-09,9.0,12.0,0.41998291015625,0.14925122261047363,0.32523850690221934,0.32521854696906893,6.265852478377776e-05
4,32.0,0.0001,1e-10,10.0,14.0,0.4643862247467041,0.1699812412261963,0.3252384755683916,0.32521807102457845,6.262038927703897e-05
5,32.0,1e-05,1e-06,8.0,11.0,0.37136292457580566,0.13716506958007812,0.24793053294967904,0.24966395354907361,0.003953383299738064
6,32.0,1e-05,1e-07,11.0,15.0,0.5078153610229492,0.17928767204284668,0.24456887236392066,0.2447210808382756,0.000739282868175895
7,32.0,1e-05,1e-08,13.0,19.0,0.5994269847869873,0.22348976135253906,0.2444181873101457,0.24441510643702724,0.0002495167070321904
8,32.0,1e-05,1e-09,16.0,25.0,0.7300570011138916,0.28501105308532715,0.24441063707839447,0.2443709334249596,0.0001995025654908616
9,32.0,1e-05,1e-10,17.0,31.0,0.7826449871063232,0.3820979595184326,0.24441039821817684,0.24437002541400596,0.0002011743745125279
10,32.0,1e-06,1e-06,8.0,12.0,0.3882269859313965,0.15481328964233398,0.20963862790993254,0.19542082165123326,0.02594901584976574
11,32.0,1e-06,1e-07,17.0,25.0,0.8485050201416016,0.3099398612976074,0.16585878684502328,0.16601441252240068,0.003054564063895984
12,32.0,1e-06,1e-08,20.0,36.0,0.9470310211181641,0.42878293991088867,0.1666659391031752,0.1664275290949673,0.0014015237322803104
13,32.0,1e-06,1e-09,30.0,51.0,1.4494950771331787,0.5561041831970215,0.16688479796924133,0.16684228487285227,0.00025831421607862076
14,32.0,1e-06,1e-10,36.0,67.0,1.733206033706665,0.7418708801269531,0.1668850640752575,0.16684778550062482,0.000196289322281727
15,32.0,1e-07,1e-06,8.0,12.0,0.3881099224090576,0.1545851230621338,0.20481710580816084,0.1824465768555364,0.04563810526396476
16,32.0,1e-07,1e-07,18.0,30.0,0.8678140640258789,0.33417797088623047,0.16779315722060817,0.16708634787821025,0.004343336459524142
17,32.0,1e-07,1e-08,40.0,96.0,2.1385440826416016,1.170522928237915,0.2591237528744479,0.26058241259096493,0.007504284376592189
