,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
0,32.0,0.0001,1e-06,6.0,6.0,0.2786691188812256,0.08434724807739258,0.3244476800046758,0.3249165002967512,0.0010404235582651088
1,32.0,0.0001,1e-07,7.0,8.0,0.3288109302520752,0.10598325729370117,0.3243201750295236,0.3243147823398095,1.5912034974006146e-05
2,32.0,0.0001,1e-08,8.0,9.0,0.37302613258361816,0.11477208137512207,0.32430462196219667,0.32430148210556636,1.66930003036312e-05
3,32.0,0.0001,1e-09,9.0,11.0,0.4179098606109619,0.13654613494873047,0.3243030836699799,0.32429907072240144,1.5940489073391313e-05
4,32.0,0.0001,1e-10,10.0,13.0,0.4595959186553955,0.15590596199035645,0.3243030284607368,0.32429864936606495,1.5584691147288617e-05
5,32.0,1e-05,1e-06,7.0,8.0,0.3212621212005615,0.10295605659484863,0.2411307200174215,0.24102290907807938,0.00020111886212165967
6,32.0,1e-05,1e-07,11.0,14.0,0.5120501518249512,0.1683487892150879,0.23332222628554575,0.23331054350104016,0.00017301982049177937
7,32.0,1e-05,1e-08,13.0,19.0,0.5998361110687256,0.22798514366149902,0.2331381336629867,0.23312586578634809,9.835005655436528e-05
8,32.0,1e-05,1e-09,15.0,25.0,0.6834590435028076,0.2803342342376709,0.23312252316706666,0.2330992151250279,5.284317153100578e-05
9,32.0,1e-05,1e-10,17.0,29.0,0.7750380039215088,0.32211804389953613,0.23312205855266777,0.23309898534906068,5.274410953518186e-05
10,32.0,1e-06,1e-06,8.0,12.0,0.36779308319091797,0.14698123931884766,0.17978218562041226,0.17351963317536265,0.01249692607308495
11,32.0,1e-06,1e-07,17.0,20.0,0.7751369476318359,0.23115205764770508,0.14633778533303857,0.14961158011196773,0.016785948363363064
12,32.0,1e-06,1e-08,20.0,41.0,0.9095828533172607,0.4459199905395508,0.14635594445532524,0.14634084241756562,0.0012101898590562506
13,32.0,1e-06,1e-09,28.0,55.0,1.2842721939086914,0.5839056968688965,0.1463707662031348,0.14633324476988327,0.0001363927619195842
14,32.0,1e-06,1e-10,33.0,70.0,1.5070641040802002,0.7257611751556396,0.14637079778507042,0.14633259921963498,0.00013232104553620542
15,32.0,1e-07,1e-06,9.0,12.0,0.40862011909484863,0.1470181941986084,0.15456897985241158,0.16665230971046568,0.03771891144462382
16,32.0,1e-07,1e-07,19.0,41.0,0.8653688430786133,0.43834686279296875,0.14779982075131762,0.18213509505023492,0.07332053467454192
17,32.0,1e-07,1e-08,42.0,87.0,1.9091546535491943,0.904857873916626,0.21533616625182364,0.21557275183371058,0.000990200951288336
18,32.0,1e-07,1e-09,55.0,133.0,2.528881788253784,1.3654460906982422,0.21651270306420564,0.21657527274426475,0.0007185612828442462
19,32.0,1e-07,1e-10,73.0,172.0,3.321869134902954,1.7447848320007324,0.2165779169263111,0.2166118149801428,0.00018915505443322668
20,32.0,1e-08,1e-06,9.0,12.0,0.4144420623779297,0.14649701118469238,0.15397489709900053,0.16606311209059052,0.03902502198573874
